model_name,sample_id,texto,token_index,entropy_bits,surprisal_bits
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,0,11.949061523510874,12.317730413206425
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,1,9.522142792403022,6.6314391346440384
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,2,4.533628811984369,1.3171857139249539
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,3,9.651696635367372,8.05081057635359
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,4,10.754743139067376,14.699870365474428
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,5,8.926145858935804,6.210088519336192
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,6,7.17917911214036,8.0061824543159
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,7,5.863976874127807,1.3748001599379711
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,8,7.962165214654072,15.19028921336878
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,9,5.13647306271304,2.0208651126809976
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,10,7.992018651121442,3.1677026988569428
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,11,8.19821002710207,6.5796861153464015
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,12,8.643305255118639,1.7638372129491808
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,13,10.365283610674322,18.007534265430035
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,14,4.039546389661339,1.2761020683302189
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,15,0.025586713507656515,0.0025020684341498286
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,16,6.67921660298433,11.768855350214409
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,17,6.791707015260676,5.805944424281867
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,18,7.136699397377246,8.708571295259869
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,19,3.8604041010431116,0.9405977110877738
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,20,8.964141642025622,10.507596502540881
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,21,4.274710306971618,1.3549684105103534
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,22,0.042483111420468275,0.005060132336818175
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,23,6.592636408956372,5.468778628640762
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,24,9.270197151986853,11.05964567733722
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,25,5.788663607523172,2.7475048832578297
gpt2,0,El sistema eléctrico requiere de una coordinación precisa entre generación y demanda.,26,7.611511851601701,6.399763369458559
gpt2,1,La optimización convexa ofrece garantías de optimalidad global bajo ciertas condiciones.,0,12.172597693796318,18.719640126147752
gpt2,1,La optimización convexa ofrece garantías de optimalidad global bajo ciertas condiciones.,1,6.43872638297683,7.964400301184685
gpt2,1,La optimización convexa ofrece garantías de optimalidad global bajo ciertas condiciones.,2,5.924291877715997,5.590643127285036
gpt2,1,La optimización convexa ofrece garantías de optimalidad global bajo ciertas condiciones.,3,0.04952824635161725,0.0055620190281804914
gpt2,1,La optimización convexa ofrece garantías de optimalidad global bajo ciertas condiciones.,4,7.042756282100549,16.27073926053722
gpt2,1,La optimización convexa ofrece garantías de optimalidad global bajo ciertas condiciones.,5,5.82426332832117,11.159345395903598
gpt2,1,La optimización convexa ofrece garantías de optimalidad global bajo ciertas condiciones.,6,8.4205079223013,10.091292546139954
